id_dataset;id_kategori;pertanyaan_variasi
607;3;kalau telat bayar ukt dan lupa daftar ulang
608;3;kalau mau bayar ukt lewat bni caranya
609;3;kode billing pembayaran ukt bisa dilihat dimana
610;3;tahapan bayar cek histori pembayaran ukt semester lalu
611;1;cara ngurus cuti akademik online di siakad
612;1;syarat perpanjang masa cuti kuliah
613;1;kalau mau terminal kuliah ngurusnya ke bagian mana
614;1;apakah mahasiswa baru boleh langsung mengajukan cuti
615;1;biaya pendaftaran daftar ulang untuk aktif kuliah lagi
616;1;form pengajuan aktif kuliah setelah cuti ambil dimana
617;1;batas akhir pengumpulan berkas pengunduran diri
618;1;mau cabut berkas sebagai mahasiswa baru
619;1;cara membatalkan status pengajuan cuti akademik
620;1;lapor ke bagian akademik kalau mau berhenti kuliah
621;1;prosedur minta izin berhenti kuliah sementara
622;1;apa bedanya status terminal dan cuti akademik
623;1;maksimal boleh cuti kuliah itu sampai berapa semester
624;1;panduan daftar ulang untuk mahasiswa aktif pasca cuti
625;1;syarat mengurus keterangan aktif kuliah lagi ke pusat
626;1;kalau mahasiswa kena drop out (do) bisa daftar ulang nggak
627;1;surat peringatan (sp) dari akademik karena nilai jelek
628;1;apakah lapor ke komti cukup kalau mau cuti semester ini
629;1;alur pengurusan surat status terminal dari admin prodi
630;1;cara mengaktifkan kembali nim yang nonaktif
631;6;cara mengerjakan kompen alpha
632;6;tugas kompen minta ke siapa
633;6;prosedur pemenuhan kompen ketidakhadiran
634;7;cara lihat jadwal kelas semester ini
635;7;jadwal kuliah bisa dicek di mana
636;7;hari ini ada kelas atau tidak lihat dimana
637;7;cara minta nomor wa dosen
638;7;info kontak dosen pengampu mata kuliah
639;7;minta nomor telepon dosen ke siapa
